processed-text,ensemble_sentiment_label
adam gave name cattle fowl air every beast field adam found help meet,positive
lord god caused deep sleep fall upon adam slept took one rib closed flesh instead thereof,positive
rib lord god taken man made woman brought unto man,positive
adam said bone bone flesh flesh shall called woman taken man,neutral
therefore shall man leave father mother shall cleave unto wife shall one flesh,neutral
naked man wife ashamed,negative
serpent subtil beast field lord god made said unto woman yea hath god said ye shall eat every tree garden,negative
woman said unto serpent may eat fruit tree garden,neutral
fruit tree midst garden god hath said ye shall eat neither shall ye touch lest ye die,negative
serpent said unto woman ye shall surely die,negative
god doth know day ye eat thereof eye shall opened ye shall god knowing good evil,positive
woman saw tree good food pleasant eye tree desired make one wise took fruit thereof eat gave also unto husband eat,positive
eye opened knew naked sewed fig leaf together made apron,positive
heard voice lord god walking garden cool day adam wife hid presence lord god amongst tree garden,positive
lord god called unto adam said unto art thou,positive
said heard thy voice garden afraid naked hid,negative
said told thee thou wast naked hast thou eaten tree whereof commanded thee thou shouldest eat,neutral
man said woman thou gavest gave tree eat,neutral
lord god said unto woman thou hast done woman said serpent beguiled eat,positive
lord god said unto serpent thou hast done thou art cursed cattle every beast field upon thy belly shalt thou go dust shalt thou eat day thy life,negative
put enmity thee woman thy seed seed shall bruise thy head thou shalt bruise heel,negative
unto woman said greatly multiply thy sorrow thy conception sorrow thou shalt bring forth child thy desire shall thy husband shall rule thee,negative
unto adam said thou hast hearkened unto voice thy wife hast eaten tree commanded thee saying thou shalt eat cursed ground thy sake sorrow shalt thou eat day thy life,negative
thorn also thistle shall bring forth thee thou shalt eat herb field,negative
sweat thy face shalt thou eat bread till thou return unto ground wast thou taken dust thou art unto dust shalt thou return,neutral
adam called wife name eve mother living,neutral
unto adam also wife lord god make coat skin clothed,positive
lord god said behold man become one u know good evil lest put forth hand take also tree life eat live ever,positive
therefore lord god sent forth garden eden till ground whence taken,positive
drove man placed east garden eden cherubims flaming sword turned every way keep way tree life,neutral
adam knew eve wife conceived bare cain said gotten man lord,positive
bare brother abel abel keeper sheep cain tiller ground,neutral
process time came pas cain brought fruit ground offering unto lord,neutral
abel also brought firstlings flock fat thereof lord respect unto abel offering,positive
unto cain offering respect cain wroth countenance fell,positive
lord said unto cain art thou wroth thy countenance fallen,negative
thou doest well shalt thou accepted thou doest well sin lieth door unto thee shall desire thou shalt rule,positive
cain talked abel brother came pas field cain rose abel brother slew,neutral
lord said unto cain abel thy brother said know brother keeper,neutral
said hast thou done voice thy brother blood crieth unto ground,neutral
art thou cursed earth hath opened mouth receive thy brother blood thy hand,positive
thou tillest ground shall henceforth yield unto thee strength fugitive vagabond shalt thou earth,positive
cain said unto lord punishment greater bear,negative
behold thou hast driven day face earth thy face shall hid shall fugitive vagabond earth shall come pas every one findeth shall slay,negative
lord said unto therefore whosoever slayeth cain vengeance shall taken sevenfold lord set mark upon cain lest finding kill,negative
cain went presence lord dwelt land nod east eden,neutral
cain knew wife conceived bare enoch builded city called name city name son enoch,positive
unto enoch born irad irad begat mehujael mehujael begat methusael methusael begat lamech,neutral
lamech took unto two wife name one adah name zillah,neutral
adah bare jabal father dwell tent cattle,positive
brother name jubal father handle harp organ,neutral
zillah also bare tubalcain instructer every artificer brass iron sister tubalcain naamah,positive
lamech said unto wife adah zillah hear voice ye wife lamech hearken unto speech slain man wounding young man hurt,negative
cain shall avenged sevenfold truly lamech seventy sevenfold,positive
adam knew wife bare son called name seth god said hath appointed another seed instead abel cain slew,positive
seth also born son called name enos began men call upon name lord,positive
book generation adam day god created man likeness god made,positive
male female created blessed called name adam day created,positive
adam lived hundred thirty year begat son likeness image called name seth,neutral
day adam begotten seth eight hundred year begat son daughter,neutral
day adam lived nine hundred thirty year died,negative
seth lived hundred five year begat enos,neutral
seth lived begat enos eight hundred seven year begat son daughter,neutral
day seth nine hundred twelve year died,negative
enos lived ninety year begat cainan,neutral
enos lived begat cainan eight hundred fifteen year begat son daughter,neutral
day enos nine hundred five year died,negative
cainan lived seventy year begat mahalaleel,neutral
cainan lived begat mahalaleel eight hundred forty year begat son daughter,neutral
day cainan nine hundred ten year died,negative
mahalaleel lived sixty five year begat jared,neutral
mahalaleel lived begat jared eight hundred thirty year begat son daughter,positive
day mahalaleel eight hundred ninety five year died,negative
jared lived hundred sixty two year begat enoch,neutral
jared lived begat enoch eight hundred year begat son daughter,positive
day jared nine hundred sixty two year died,negative
enoch lived sixty five year begat methuselah,neutral
enoch walked god begat methuselah three hundred year begat son daughter,positive
day enoch three hundred sixty five year,neutral
enoch walked god god took,neutral
methuselah lived hundred eighty seven year begat lamech,neutral
methuselah lived begat lamech seven hundred eighty two year begat son daughter,positive
day methuselah nine hundred sixty nine year died,negative
lamech lived hundred eighty two year begat son,neutral
called name noah saying shall comfort u concerning work toil hand ground lord hath cursed,positive
lamech lived begat noah five hundred ninety five year begat son daughter,neutral
day lamech seven hundred seventy seven year died,negative
noah five hundred year old noah begat shem ham japheth,positive
came pas men began multiply face earth daughter born unto,positive
son god saw daughter men fair took wife chose,positive
lord said spirit shall always strive man also flesh yet day shall hundred twenty year,positive
giant earth day also son god came unto daughter men bare child became mighty men old men renown,positive
god saw wickedness man great earth every imagination thought heart evil continually,positive
repented lord made man earth grieved heart,negative
lord said destroy man created face earth man beast creeping thing fowl air repenteth made,negative
noah found grace eye lord,positive
generation noah noah man perfect generation noah walked god,positive
noah begat three son shem ham japheth,neutral
earth also corrupt god earth filled violence,negative
god looked upon earth behold corrupt flesh corrupted way upon earth,negative
god said unto noah end flesh come earth filled violence behold destroy earth,negative
make thee ark gopher wood room shalt thou make ark shalt pitch within without pitch,neutral
fashion thou shalt make length ark shall three hundred cubit breadth fifty cubit height thirty cubit,neutral
window shalt thou make ark cubit shalt thou finish door ark shalt thou set side thereof lower second third story shalt thou make,negative
behold even bring flood water upon earth destroy flesh wherein breath life heaven every thing earth shall die,negative
thee establish covenant thou shalt come ark thou thy son thy wife thy son wife thee,neutral
every living thing flesh two every sort shalt thou bring ark keep alive thee shall male female,positive
fowl kind cattle kind every creeping thing earth kind two every sort shall come unto thee keep alive,positive
take thou unto thee food eaten thou shalt gather thee shall food thee,neutral
thus noah according god commanded,neutral
lord said unto noah come thou thy house ark thee seen righteous generation,positive
every clean beast thou shalt take thee seven male female beast clean two male female,positive
fowl also air seven male female keep seed alive upon face earth,positive
yet seven day cause rain upon earth forty day forty night every living substance made destroy face earth,negative
noah according unto lord commanded,neutral
noah six hundred year old flood water upon earth,positive
noah went son wife son wife ark water flood,neutral
clean beast beast clean fowl every thing creepeth upon earth,positive
went two two unto noah ark male female god commanded noah,neutral
came pas seven day water flood upon earth,neutral
six hundredth year noah life second month seventeenth day month day fountain great deep broken window heaven opened,positive
rain upon earth forty day forty night,neutral
selfsame day entered noah shem ham japheth son noah noah wife three wife son ark,neutral
every beast kind cattle kind every creeping thing creepeth upon earth kind every fowl kind every bird every sort,positive
went unto noah ark two two flesh wherein breath life,neutral
went went male female flesh god commanded lord shut,positive
flood forty day upon earth water increased bare ark lift earth,positive
water prevailed increased greatly upon earth ark went upon face water,positive
water prevailed exceedingly upon earth high hill whole heaven covered,positive
fifteen cubit upward water prevail mountain covered,neutral
flesh died moved upon earth fowl cattle beast every creeping thing creepeth upon earth every man,negative
whose nostril breath life dry land died,negative
every living substance destroyed upon face ground man cattle creeping thing fowl heaven destroyed earth noah remained alive ark,negative
water prevailed upon earth hundred fifty day,neutral
god remembered noah every living thing cattle ark god made wind pas earth water assuaged,positive
fountain also deep window heaven stopped rain heaven restrained,positive
water returned earth continually end hundred fifty day water abated,neutral
ark rested seventh month seventeenth day month upon mountain ararat,neutral
water decreased continually tenth month tenth month first day month top mountain seen,positive
came pas end forty day noah opened window ark made,neutral
sent forth raven went forth fro water dried earth,neutral
also sent forth dove see water abated face ground,neutral
dove found rest sole foot returned unto ark water face whole earth put forth hand took pulled unto ark,positive
stayed yet seven day sent forth dove ark,positive
dove came evening lo mouth olive leaf plucked noah knew water abated earth,neutral
stayed yet seven day sent forth dove returned unto,positive
came pas six hundredth first year first month first day month water dried earth noah removed covering ark looked behold face ground dry,negative
second month seven twentieth day month earth dried,neutral
god spake unto noah saying,neutral
go forth ark thou thy wife thy son thy son wife thee,neutral
bring forth thee every living thing thee flesh fowl cattle every creeping thing creepeth upon earth may breed abundantly earth fruitful multiply upon earth,neutral
noah went forth son wife son wife,neutral
every beast every creeping thing every fowl whatsoever creepeth upon earth kind went forth ark,positive
noah builded altar unto lord took every clean beast every clean fowl offered burnt offering altar,positive
lord smelled sweet savor lord said heart curse ground man sake imagination man heart evil youth neither smite every thing living done,negative
earth remaineth seedtime harvest cold heat summer winter day night shall cease,negative
god blessed noah son said unto fruitful multiply replenish earth,positive
fear dread shall upon every beast earth upon every fowl air upon moveth upon earth upon fish sea hand delivered,negative
every moving thing liveth shall meat even green herb given thing,positive
flesh life thereof blood thereof shall ye eat,neutral
surely blood life require hand every beast require hand man hand every man brother require life man,positive
whoso sheddeth man blood man shall blood shed image god made man,positive
ye fruitful multiply bring forth abundantly earth multiply therein,positive
god spake unto noah son saying,neutral
behold establish covenant seed,neutral
every living creature fowl cattle every beast earth go ark every beast earth,positive
establish covenant neither shall flesh cut water flood neither shall flood destroy earth,positive
god said token covenant make every living creature perpetual generation,negative
set bow cloud shall token covenant earth,neutral
shall come pas bring cloud earth bow shall seen cloud,neutral
remember covenant every living creature flesh water shall become flood destroy flesh,negative
bow shall cloud look upon may remember everlasting covenant god every living creature flesh upon earth,positive
god said unto noah token covenant established flesh upon earth,positive
son noah went forth ark shem ham japheth ham father canaan,neutral
three son noah whole earth overspread,neutral
noah began husbandman planted vineyard,neutral
drank wine drunken uncovered within tent,neutral
ham father canaan saw nakedness father told two brother without,neutral
shem japheth took garment laid upon shoulder went backward covered nakedness father face backward saw father nakedness,negative
noah awoke wine knew younger son done unto,positive
said cursed canaan servant servant shall unto brother,neutral
said blessed lord god shem canaan shall servant,positive
god shall enlarge japheth shall dwell tent shem canaan shall servant,positive
noah lived flood three hundred fifty year,neutral
day noah nine hundred fifty year died,negative
generation son noah shem ham japheth unto son born flood,positive
son japheth gomer magog madai javan tubal meshech tiras,neutral
son gomer ashkenaz riphath togarmah,neutral
son javan elishah tarshish kittim dodanim,neutral
isle gentile divided land every one tongue family nation,negative
son ham cush mizraim phut canaan,neutral
son cush seba havilah sabtah raamah sabtechah son raamah sheba dedan,neutral
cush begat nimrod began mighty one earth,neutral
mighty hunter lord wherefore said even nimrod mighty hunter lord,neutral
beginning kingdom babel erech accad calneh land shinar,neutral
land went forth asshur builded nineveh city rehoboth calah,neutral
resen nineveh calah great city,positive
mizraim begat ludim anamim lehabim naphtuhim,neutral
pathrusim casluhim came philistim caphtorim,neutral
canaan begat sidon first born heth,neutral
jebusite amorite girgasite,neutral
hivite arkite sinite,neutral
arvadite zemarite hamathite afterward family canaanite spread abroad,neutral
border canaanite sidon thou comest gerar unto gaza thou goest unto sodom gomorrah admah zeboim even unto lasha,neutral
son ham family tongue country nation,positive
unto shem also father child eber brother japheth elder even child born,neutral
child shem elam asshur arphaxad lud aram,neutral
child aram uz hul gether mash,neutral
arphaxad begat salah salah begat eber,neutral
unto eber born two son name one peleg day earth divided brother name joktan,positive
joktan begat almodad sheleph hazarmaveth jerah,neutral
hadoram uzal diklah,neutral
obal abimael sheba,neutral
ophir havilah jobab son joktan,neutral
dwelling mesha thou goest unto sephar mount east,neutral
son shem family tongue land nation,neutral
family son noah generation nation nation divided earth flood,neutral
whole earth one language one speech,positive
came pas journeyed east found plain land shinar dwelt,positive
said one another go let u make brick burn thoroughly brick stone slime mortar,negative
said go let u build u city tower whose top may reach unto heaven let u make u name lest scattered abroad upon face whole earth,positive
lord came see city tower child men builded,positive
lord said behold people one one language begin nothing restrained imagined,negative
go let u go confound language may understand one another speech,neutral
lord scattered abroad thence upon face earth left build city,neutral
therefore name called babel lord confound language earth thence lord scatter abroad upon face earth,positive
generation shem shem hundred year old begat arphaxad two year flood,positive
shem lived begat arphaxad five hundred year begat son daughter,neutral
arphaxad lived five thirty year begat salah,neutral
arphaxad lived begat salah four hundred three year begat son daughter,neutral
salah lived thirty year begat eber,neutral
salah lived begat eber four hundred three year begat son daughter,neutral
eber lived four thirty year begat peleg,neutral
eber lived begat peleg four hundred thirty year begat son daughter,neutral
peleg lived thirty year begat reu,neutral
peleg lived begat reu two hundred nine year begat son daughter,neutral
reu lived two thirty year begat serug,neutral
reu lived begat serug two hundred seven year begat son daughter,neutral
serug lived thirty year begat nahor,neutral
serug lived begat nahor two hundred year begat son daughter,neutral
nahor lived nine twenty year begat terah,neutral
nahor lived begat terah hundred nineteen year begat son daughter,neutral
terah lived seventy year begat abram nahor haran,neutral
generation terah terah begat abram nahor haran haran begat lot,neutral
haran died father terah land nativity ur chaldee,negative
abram nahor took wife name abram wife sarai name nahor wife milcah daughter haran father milcah father iscah,neutral
sarai barren child,neutral
terah took abram son lot son haran son son sarai daughter law son abram wife went forth ur chaldee go land canaan came unto haran dwelt,neutral
day terah two hundred five year terah died haran,negative
lord said unto abram get thee thy country thy kindred thy father house unto land show thee,neutral
make thee great nation bless thee make thy name great thou shalt blessing,positive
bless bless thee curse curseth thee thee shall family earth blessed,positive
abram departed lord spoken unto lot went abram seventy five year old departed haran,positive
abram took sarai wife lot brother son substance gathered soul gotten haran went forth go land canaan land canaan came,neutral
abram passed land unto place sichem unto plain moreh canaanite land,neutral
lord appeared unto abram said unto thy seed give land builded altar unto lord appeared unto,neutral
removed thence unto mountain east bethel pitched tent bethel west hai east builded altar unto lord called upon name lord,positive
abram journeyed going still toward south,neutral
famine land abram went egypt sojourn famine grievous land,negative
came pas come near enter egypt said unto sarai wife behold know thou art fair woman look upon,positive
therefore shall come pas egyptian shall see thee shall say wife kill save thee alive,positive
say pray thee thou art sister may well thy sake soul shall live thee,positive
came pas abram come egypt egyptian beheld woman fair,positive
prince also pharaoh saw commended pharaoh woman taken pharaoh house,positive
entreated abram well sake sheep ox ass manservant maidservant ass camel,negative
lord plagued pharaoh house great plague sarai abram wife,negative
pharaoh called abram said thou hast done unto didst thou tell thy wife,neutral
saidst thou sister might taken wife therefore behold thy wife take go thy way,neutral
pharaoh commanded men concerning sent away wife,neutral
abram went egypt wife lot south,neutral
abram rich cattle silver gold,positive
went journey south even bethel unto place tent beginning bethel hai,positive
unto place altar make first abram called name lord,positive
lot also went abram flock herd tent,neutral
land able bear might dwell together substance great could dwell together,positive
strife herdmen abram cattle herdmen lot cattle canaanite perizzite dwelled land,positive
abram said unto lot let strife pray thee thee herdmen thy herdmen brother,positive
whole land thee separate thyself pray thee thou wilt take left hand go right thou depart right hand go left,positive
lot lifted eye beheld plain jordan well watered every lord destroyed sodom gomorrah even garden lord like land egypt thou comest unto zoar,positive
lot chose plain jordan lot journeyed east separated one,positive
abram dwelled land canaan lot dwelled city plain pitched tent toward sodom,positive
men sodom wicked sinner lord exceedingly,negative
lord said unto abram lot separated lift thine eye look place thou art northward southward eastward westward,neutral
land thou seest thee give thy seed ever,neutral
make thy seed dust earth man number dust earth shall thy seed also numbered,negative
arise walk land length breadth give unto thee,neutral
abram removed tent came dwelt plain mamre hebron built altar unto lord,positive
came pas day amraphel king shinar arioch king ellasar chedorlaomer king elam tidal king nation,neutral
made war bera king sodom birsha king gomorrah shinab king admah shemeber king zeboiim king bela zoar,positive
joined together vale siddim salt sea,neutral
twelve year served chedorlaomer thirteenth year rebelled,neutral
fourteenth year came chedorlaomer king smote rephaim ashteroth karnaim zuzims ham emins shaveh kiriathaim,neutral
horites mount seir unto elparan wilderness,neutral
returned came enmishpat kadesh smote country amalekites also amorites dwelt hazezontamar,neutral
went king sodom king gomorrah king admah king zeboiim king bela zoar joined battle vale siddim,positive
chedorlaomer king elam tidal king nation amraphel king shinar arioch king ellasar four king five,neutral
vale siddim full slime pit king sodom gomorrah fled fell remained fled mountain,negative
took good sodom gomorrah victual went way,positive
took lot abram brother son dwelt sodom good departed,positive
came one escaped told abram hebrew dwelt plain mamre amorite brother eshcol brother aner confederate abram,positive
abram heard brother taken captive armed trained servant born house three hundred eighteen pursued unto dan,positive
divided servant night smote pursued unto hobah left hand damascus,positive
brought back good also brought brother lot good woman also people,positive
king sodom went meet return slaughter chedorlaomer king valley shaveh king dale,positive
melchizedek king salem brought forth bread wine priest high god,positive
blessed said blessed abram high god possessor heaven earth,positive
blessed high god hath delivered thine enemy thy hand gave tithe,positive
king sodom said unto abram give person take good thyself,positive
abram said king sodom lift mine hand unto lord high god possessor heaven earth,positive
take thread even shoelatchet take thing thine lest thou shouldest say made abram rich,positive
save young men eaten portion men went aner eshcol mamre let take portion,positive
thing word lord came unto abram vision saying fear abram thy shield thy exceeding great reward,positive
abram said lord god wilt thou give seeing go childless steward house eliezer damascus,negative
abram said behold thou hast given seed lo one born house mine heir,neutral
behold word lord came unto saying shall thine heir shall come forth thine bowel shall thine heir,neutral
brought forth abroad said look toward heaven tell star thou able number said unto shall thy seed,positive
believed lord counted righteousness,positive
said unto lord brought thee ur chaldee give thee land inherit,negative
said lord god whereby shall know shall inherit,positive
said unto take heifer three year old goat three year old ram three year old turtledove young pigeon,positive
took unto divided midst laid piece one another bird divided,negative
fowl came upon carcass abram drove away,neutral
sun going deep sleep fell upon abram lo horror great darkness fell upon,negative
said unto abram know surety thy seed shall stranger land shall serve shall afflict four hundred year,negative
also nation shall serve judge afterward shall come great substance,positive
thou shalt go thy father peace thou shalt buried good old age,positive
fourth generation shall come hither iniquity amorites yet full,negative
came pas sun went dark behold smoking furnace burning lamp passed piece,negative
day lord made covenant abram saying unto thy seed given land river egypt unto great river river euphrates,positive
kenites kenizzites kadmonites,neutral
hittite perizzites rephaim,neutral
amorites canaanite girgashites jebusites,neutral
sarai abram wife bare child handmaid egyptian whose name hagar,negative
sarai said unto abram behold lord hath restrained bearing pray thee go unto maid may may obtain child abram hearkened voice sarai,positive
sarai abram wife took hagar maid egyptian abram dwelt ten year land canaan gave husband abram wife,neutral
went unto hagar conceived saw conceived mistress despised eye,negative
sarai said unto abram wrong upon thee given maid thy bosom saw conceived despised eye lord judge thee,negative
abram said unto sarai behold thy maid thine hand pleaseth thee sarai dealt hardly fled face,positive
angel lord found fountain water wilderness fountain way shur,positive
said hagar sarai maid whence camest thou whither wilt thou go said flee face mistress sarai,negative
angel lord said unto return thy mistress submit thyself hand,positive
angel lord said unto multiply thy seed exceedingly shall numbered multitude,positive
angel lord said unto behold thou art child shalt bear son shalt call name ishmael lord hath heard thy affliction,negative
wild man hand every man every man hand shall dwell presence brother,positive
called name lord spake unto thou god seest said also looked seeth,positive
wherefore well called beerlahairoi behold kadesh bered,positive
hagar bare abram son abram called son name hagar bare ishmael,positive
abram fourscore six year old hagar bare ishmael abram,positive
abram ninety year old nine lord appeared abram said unto almighty god walk thou perfect,positive
make covenant thee multiply thee exceedingly,neutral
abram fell face god talked saying,neutral
behold covenant thee thou shalt father many nation,neutral
neither shall thy name called abram thy name shall abraham father many nation made thee,neutral
make thee exceeding fruitful make nation thee king shall come thee,positive
establish covenant thee thy seed thee generation everlasting covenant god unto thee thy seed thee,positive
give unto thee thy seed thee land wherein thou art stranger land canaan everlasting possession god,positive
god said unto abraham thou shalt keep covenant therefore thou thy seed thee generation,neutral
covenant ye shall keep thy seed thee every man child among shall circumcised,neutral
ye shall circumcise flesh foreskin shall token covenant betwixt,neutral
eight day old shall circumcised among every man child generation born house bought money stranger thy seed,negative
born thy house bought thy money must need circumcised covenant shall flesh everlasting covenant,positive
uncircumcised man child whose flesh foreskin circumcised soul shall cut people hath broken covenant,negative
god said unto abraham sarai thy wife thou shalt call name sarai sarah shall name,positive
bless give thee son also yea bless shall mother nation king people shall,positive
abraham fell upon face laughed said heart shall child born unto hundred year old shall sarah ninety year old bear,positive
abraham said unto god ishmael might live thee,neutral
god said sarah thy wife shall bear thee son indeed thou shalt call name isaac establish covenant everlasting covenant seed,positive
ishmael heard thee behold blessed make fruitful multiply exceedingly twelve prince shall beget make great nation,positive
covenant establish isaac sarah shall bear unto thee set time next year,neutral
left talking god went abraham,neutral
abraham took ishmael son born house bought money every male among men abraham house circumcised flesh foreskin selfsame day god said unto,positive
abraham ninety year old nine circumcised flesh foreskin,positive
ishmael son thirteen year old circumcised flesh foreskin,positive
selfsame day abraham circumcised ishmael son,neutral
men house born house bought money stranger circumcised,negative
lord appeared unto plain mamre sat tent door heat day,neutral
lift eye looked lo three men stood saw ran meet tent door bowed toward ground,neutral
said lord found favor thy sight pas away pray thee thy servant,positive
let little water pray fetched wash foot rest tree,positive
fetch morsel bread comfort ye heart ye shall pas therefore ye come servant said thou hast said,negative
abraham hastened tent unto sarah said make ready quickly three measure fine meal knead make cake upon hearth,positive
abraham ran unto herd fetched calf tender good gave unto young man hasted dress,positive
took butter milk calf dressed set stood tree eat,neutral
said unto sarah thy wife said behold tent,neutral
said certainly return unto thee according time life lo sarah thy wife shall son sarah heard tent door behind,positive
abraham sarah old well stricken age ceased sarah manner woman,negative
therefore sarah laughed within saying waxed old shall pleasure lord old also,positive
lord said unto abraham wherefore sarah laugh saying shall surety bear child old,positive
thing hard lord time appointed return unto thee according time life sarah shall son,negative
sarah denied saying laughed afraid said nay thou didst laugh,negative
men rose thence looked toward sodom abraham went bring way,neutral
lord said shall hide abraham thing,negative
seeing abraham shall surely become great mighty nation nation earth shall blessed,positive
know command child household shall keep way lord justice judgment lord may bring upon abraham hath spoken,positive
lord said cry sodom gomorrah great sin grievous,negative
go see whether done altogether according cry come unto know,negative
men turned face thence went toward sodom abraham stood yet lord,positive
abraham drew near said wilt thou also destroy righteous wicked,negative
peradventure fifty righteous within city wilt thou also destroy spare place fifty righteous therein,positive
far thee manner slay righteous wicked righteous wicked far thee shall judge earth right,negative
lord said find sodom fifty righteous within city spare place sake,positive
abraham answered said behold taken upon speak unto lord dust ash,negative
peradventure shall lack five fifty righteous wilt thou destroy city lack five said find forty five destroy,negative
spake unto yet said peradventure shall forty found said forty sake,positive
said unto oh let lord angry speak peradventure shall thirty found said find thirty,negative
said behold taken upon speak unto lord peradventure shall twenty found said destroy twenty sake,negative
said oh let lord angry speak yet peradventure ten shall found said destroy ten sake,negative
lord went way soon left communing abraham abraham returned unto place,negative
came two angel sodom even lot sat gate sodom lot seeing rose meet bowed face toward ground,positive
said behold lord turn pray servant house tarry night wash foot ye shall rise early go way said nay abide street night,positive
pressed upon greatly turned unto entered house made feast bake unleavened bread eat,positive
lay men city even men sodom compassed house round old young people every quarter,neutral
called unto lot said unto men came thee night bring unto u may know,neutral
lot went door unto shut door,neutral
said pray brother wickedly,negative
behold two daughter known man let pray bring unto ye good eye unto men nothing therefore came shadow roof,positive
said stand back said one fellow came sojourn need judge deal worse thee pressed sore upon man even lot came near break door,negative
men put forth hand pulled lot house shut door,positive
smote men door house blindness small great wearied find door,positive
men said unto lot hast thou besides son law thy son thy daughter whatsoever thou hast city bring place,neutral
destroy place cry waxen great face lord lord hath sent u destroy,negative
lot went spake unto son law married daughter said get place lord destroy city seemed one mocked unto son law,negative
morning arose angel hastened lot saying arise take thy wife thy two daughter lest thou consumed iniquity city,positive
lingered men laid hold upon hand upon hand wife upon hand two daughter lord merciful unto brought forth set without city,positive
came pas brought forth abroad said escape thy life look behind thee neither stay thou plain escape mountain lest thou consumed,positive
lot said unto oh lord,neutral
behold thy servant hath found grace thy sight thou hast magnified thy mercy thou hast showed unto saving life escape mountain lest evil take die,negative
behold city near flee unto little one oh let escape thither little one soul shall live,negative
said unto see accepted thee concerning thing also overthrow city thou hast spoken,positive
haste thee escape thither anything till thou come thither therefore name city called zoar,positive
sun risen upon earth lot entered zoar,neutral
lord rained upon sodom upon gomorrah brimstone fire lord heaven,positive
overthrew city plain inhabitant city grew upon ground,neutral
wife looked back behind became pillar salt,neutral
abraham gat early morning place stood lord,neutral
looked toward sodom gomorrah toward land plain beheld lo smoke country went smoke furnace,neutral
came pas god destroyed city plain god remembered abraham sent lot midst overthrow overthrew city lot dwelt,neutral
lot went zoar dwelt mountain two daughter feared dwell zoar dwelt cave two daughter,negative
firstborn said unto younger father old man earth come unto u manner earth,neutral
come let u make father drink wine lie may preserve seed father,neutral
made father drink wine night firstborn went lay father perceived lay arose,positive
came pas morrow firstborn said unto younger behold lay yesternight father let u make drink wine night also go thou lie may preserve seed father,neutral
made father drink wine night also younger arose lay perceived lay arose,neutral
thus daughter lot child father,neutral
first born bare son called name moab father moabites unto day,positive
younger also bare son called name benammi father child ammon unto day,positive
abraham journeyed thence toward south country dwelled kadesh shur sojourned gerar,neutral
abraham said sarah wife sister abimelech king gerar sent took sarah,neutral
god came abimelech dream night said behold thou art dead man woman thou hast taken man wife,negative
abimelech come near said lord wilt thou slay also righteous nation,positive
said unto sister even said brother integrity heart innocency hand done,positive
god said unto dream yea know thou didst integrity thy heart also withheld thee sinning therefore suffered thee touch,positive
therefore restore man wife prophet shall pray thee thou shalt live thou restore know thou thou shalt surely die thou thine,positive
therefore abimelech rose early morning called servant told thing ear men sore afraid,negative
abimelech called abraham said unto hast thou done unto u offended thee thou hast brought kingdom great sin thou hast done deed unto ought done,negative
abimelech said unto abraham sawest thou thou hast done thing,neutral
abraham said thought surely fear god place slay wife sake,negative
